user_id,interests,num_enrolled,num_rated,enrolled_course_indices,enrolled_course_names,ratings
will_edu_14,digital|graphics|data-analysis,18,13,3344|1595|2373|484|2381|1787|1822|347|2845|43|349|1574|2730|1739|796|1790|1391|1572,"Doing More with SAS Programming|Camera Control|Julia Scientific Programming|Draw Insights with Crosstabs Reports in Google Sheets|Big Data, Artificial Intelligence, and Ethics|R Programming|Implant Dentistry|Search Advertising|Intermediate Pandas Python Library for Data Science|Introduction to Cybersecurity Tools & Cyber Attacks|Introduction to Big Data|Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames|Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital|Visual Elements of User Interface Design|Digital Business Models|Data Visualization with Python|Computer Vision Basics|Accessible Landing Page Solutions in XD",2845:4|1787:5|484:4|1822:4|1739:3|3344:5|347:4|1790:5|349:5|1574:5|1391:4|2373:3|1595:5
quinn_biz_15,research|project|planning,15,11,969|3400|1152|251|879|3337|2470|556|2128|1750|2052|1171|3257|1649|1788,"Change Leadership: Developing Strategic Gap Analysis in Miro|Analyzing Macro-Environmental Factors Using Creately|Create Infographics using Piktochart|Urban Nature: Connecting Cities, Nature and Innovation|Docker Essentials & Building a Containerized Web Application|The Marketing Plan|C++ Classes and Objects|Business Transformation with Google Cloud|Search Engine Optimization Fundamentals|Smart Cities � Management of Smart Urban Infrastructures|Population Health: Study Design|BIM Fundamentals for Engineers|Create Online Employee Onboarding Course with Eduflow|Data Visualization in Google Slides|Major Engineering Projects: Governance, Risk and Scope",1171:5|2052:5|251:4|3337:5|2470:5|3400:4|1788:5|2128:4|556:5|969:4|1152:5
zara_io_16,language-learning,15,6,3336|242|1402|2142|292|784|452|3473|2126|1912|3118|2163|885|2928|1675,"Big data and Language 1|Strategies for Teaching Perfect Tenses and Modals|Academic Literacy|Mandarin Chinese 1: Chinese for Beginners|Advanced Writing|Academic Listening and Note-Taking|Business English: Capstone Project|Noun Clauses and Conditionals|Grant Proposal|Teach English Now! Second Language Reading, Writing, and Grammar|Vowels of American English Pronunciation|Business English: Marketing and Sales|Teach English Now! Capstone Project 2|Business Russian Communication. Part 2|Russian Alphabet",885:3|2142:3|3118:5|292:5|2928:5|1675:4
omar_xyz_17,classification,12,7,2970|1230|726|2562|2532|2405|1423|1520|311|1819|283|2808,Support Vector Machine Classification in Python|Tweet Emotion Recognition with TensorFlow|Evaluate Machine Learning Models with Yellowbrick|Design Thinking and Predictive Analytics for Data Products|Explainable Machine Learning with LIME and H2O in R|Machine Learning With Big Data|Learn to Code using C# on VS Code|Basic Sentiment Analysis with TensorFlow|Serve Scikit-Learn Models for Deployment with BentoML|AI for Medical Diagnosis|Hands-on Text Mining and Analytics|Machine Learning for Accounting with Python,2970:5|311:5|2562:5|1230:5|1520:5|283:5|1819:5
george_labs_18,economics|conversant|medicine,12,6,2882|3507|1359|2040|2748|832|3292|2292|845|2746|2872|3040,Introduction to Artificial Intelligence (AI)|Healthy Aging and the Future of Cannabis Research|Curanderismo: Global & Cultural Influences of Traditional Healing|Developing Data Products|What is Data Science?|Finance for Everyone: Decisions|Essential Google Cloud Infrastructure: Foundation|The Power of Macroeconomics: Economic Principles in the Real World|Building Your Leadership Skills|What is Data Science?|Introduction to Structured Query Language (SQL)|Forecasting Skills: See the Future Before it Happens,845:5|3507:5|1359:3|2746:4|2040:5|2292:4
noah_labs_19,interactivity|environmental-science-and-sustainability,17,10,2275|2570|1013|2728|2705|894|1202|2501|3029|2040|2500|200|252|2939|891|769|949,"Mountains 101|Geodesign: Change Your World|A Circular Economy of Metals: Towards a Sustainable Societal Metabolism|Wind resources for renewable energies|3D Graphics in Android: Sensors and VR|Getting Started with Blazor WASM|Sustainability of Social-Ecological Systems: the Nexus between Water, Energy and Food|Biosphere 2 Science for the Future of Our Planet|Enhance Student Learning through Kahoot|Developing Data Products|Energy, Environment, and Everyday Life|App Design and Development for iOS|Content Strategy for Professionals: Expanding Your Content�s Reach|GIS Data Acquisition and Map Design|Build a Machine Learning Web App with Streamlit and Python|Sports and Building Aerodynamics|Planning & Design of Sanitation Systems and Technologies",2501:5|769:5|2728:5|2705:5|1202:5|949:5|2275:5|252:5|894:3|2040:4
diana_biz_20,english,19,9,3388|854|885|2308|3457|746|2114|482|22|2098|1373|2243|61|1579|33|745|160|2590|2163,"English for Common Interactions in the Workplace: Basic Level|Business English: Basics|Teach English Now! Capstone Project 2|Essentials for English Speeches and Presentations  ???????|Scholarly Communication|Teach English Now! Foundational Principles|Testing for Web Accessibility With Accessibility Insights|Literacy Teaching and Learning: Aims, Approaches and Pedagogies|How to Create Text Effects in GIMP|University Teaching|Create Your First Application with Java Using Networking|Academic Discussions in English|Lesson | Telephone Language|Lesson | Small Talk & Conversational Vocabulary|Advanced Speaking and Listening Project|Teach English Now! Foundational Principles|Teach English Now! Capstone Project 1|Creating Interactive Learning Videos with Edpuzzle|Business English: Marketing and Sales",745:5|2308:5|2114:5|33:5|2243:4|3457:4|61:5|746:5|885:5
yuki_labs_21,change|engineering|visualization,8,3,3036|2413|120|3190|1532|1274|250|1122,"Sharing Cities: Governance and Urban Sustainability|Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories|Risk, Return & Valuation|Computational Thinking for K-12 Educators: Sequences and Loops|Core Interaction Programming|Java Programming: Build a Recommendation System|Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep|Introduction to Physical Chemistry",250:3|1122:5|3190:5
diana_biz_22,history|listening,20,10,2306|2295|474|2457|2380|156|701|485|2194|2010|1089|3238|1522|2812|421|256|1341|2907|386|2264,"Big History - From the Big Bang until Today|America's Unwritten Constitution|Recovering the Humankind's Past and Saving the Universal Heritage|Russian for beginners 2. ??????? ???? A1|Roman Architecture|Internet History, Technology, and Security|Arch of Titus: Rome and the Menorah|Understanding Russians: Contexts of Intercultural Communication|The Cosmopolitan Medieval Arabic World|Chinese Culture and Contemporary China|Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today|Fashion as Design|Feminism and Social Justice|Genes and the Human Condition (From Behavior to Biotechnology)|Soul Beliefs: Causes and Consequences - Unit 2: Belief Systems|The Art of Music Production|The Emergence of the Modern Middle East - Part I|Foundations of International Psychiatry|Understanding International Relations Theory|Magic in the Middle Ages",256:5|1089:5|156:4|2264:3|701:5|2907:3|1522:5|2380:4|421:5|2812:5
penny_hub_23,management|python,12,6,562|1223|1076|2750|2937|3065|983|642|2845|3437|1012|606,Build a Simple App in Android Studio with Java|Competitive Strategy|Strategy and Sustainability|Introduction to Java Programming: Java Fundamental Concepts|Python and Statistics for Financial Analysis|Health Care Delivery in Healthcare Organizations|Preparing to Manage Human Resources|Introduction to Systems Engineering|Intermediate Pandas Python Library for Data Science|Planning your Client's Wealth over a 5-year Horizon|Django Features and Libraries|Python Basics: Create a Guessing Number Game from Scratch,642:5|2937:4|1012:5|3437:5|2750:5|562:4
wendy_hub_24,critical|operations,11,8,2693|3175|3238|76|1159|2054|1924|278|1595|639|2580,MOS Transistors|Sales Strategy|Fashion as Design|ART of the MOOC: Public Art and Pedagogy|Analyze Box Office Data with Plotly and Python|Think Again II: How to Reason Deductively|The Introduction to Quantum Computing|Microservices with Spring Boot|Camera Control|Models & Frameworks to Support Sales Planning|Nanophotonics and Detectors,1595:4|1159:3|3238:4|278:3|2693:5|1924:4|639:5|2580:4
eve_xyz_25,memory|life-sciences|information-technology,14,11,2267|737|2390|1650|3260|2023|1924|680|1476|3155|3346|1273|879|1849,"Systems Science and Obesity|EMT Foundations|Service Transformed: Lessons in U.S. Veteran Centered Care|Health Systems Development: Health systems, Policy and Research|CRUD Operations using MongoDB NoSQL|Comparing Genes, Proteins, and Genomes (Bioinformatics III)|The Introduction to Quantum Computing|Fundamentals of Immunology: Innate Immunity and B-Cell Function|Cybersecurity in Healthcare (Hospitals & Care Centres)|Health in Complex Humanitarian Emergencies|AWS Fundamentals: Addressing Security Risk|Create Fault Tolerant MongoDB Cluster|Docker Essentials & Building a Containerized Web Application|IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies",3260:4|3155:4|879:3|2267:3|1273:4|737:5|1650:4|2023:4|1476:5|2390:5|3346:4
sofia_edu_26,personal|operations,8,5,2775|2693|2313|639|1080|565|1174|817,Sales Operations: Final Project|MOS Transistors|Building a Toolkit for Your Sales Process|Models & Frameworks to Support Sales Planning|Programming a Quantum Computer with Qiskit - IBM SDK|Analysis of Business Problems|Job Success: Get Hired or Promoted in 3 Steps|Supply Chain Operations,1080:5|639:5|2775:5|1174:4|2313:3
carol_labs_27,interfaces|architecture|business-essentials,12,6,3064|19|2271|505|1570|2696|3467|2483|1898|749|2187|1023,"Server-side Development with NodeJS, Express and MongoDB|Recommendation Systems with TensorFlow on GCP|Moving to the Cloud|On Premises Installation and Fundamentals with Google Cloud's Apigee API Platform|Web Design: Strategy and Information Architecture|FPGA Softcore Processors and IP Acquisition|Mastering Web3 with Waves|User Experience Design � Creating User Profiles|Game Development for Modern Platforms|Global Impact: Cultural Psychology|A Business Approach to Sustainable Landscape Restoration|Service-Oriented Architecture",2483:4|19:3|1023:4|2696:4|3467:4|2271:5
zara_io_28,cloud-computing,13,8,3326|1614|1849|414|521|1465|3441|2386|540|175|3499|3361|3470,Google Cloud Platform Fundamentals: Core Infrastructure|Mitigating Security Vulnerabilities on Google Cloud Platform|IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies|Preparing for the Google Cloud Professional Cloud Architect Exam|Reliable Google Cloud Infrastructure: Design and Process|Big Data Analytical Platform on Alibaba Cloud|Google Cloud Platform Fundamentals: Core Infrastructure|Building Modern Python Applications on AWS|Introduction to Cloud Identity|Introduction to Git and GitHub|Google Cloud Platform Fundamentals: Core Infrastructure|Creating an AWS EC2 Autoscaling Group using Load Balancer|Google Cloud Platform Fundamentals: Core Infrastructure,3470:5|3326:4|414:3|521:5|540:5|1849:5|2386:4|3499:3
aiden_ml_29,machine-learning,9,5,2343|3070|3474|1691|1835|3468|657|1774|965,Fundamentals of Reinforcement Learning|Perform Feature Analysis with Yellowbrick|Support Vector Machines with scikit-learn|Recommender Systems:  Evaluation and Metrics|Regression Analysis with Yellowbrick|Getting started with TensorFlow 2|Detecting COVID-19 with Chest X-Ray using PyTorch|Machine Learning Pipelines with Azure ML Studio|Interactive Word Embeddings using Word2Vec and Plotly,1774:4|1691:5|965:5|1835:5|3070:5
rosa_labs_30,performance|analytics,14,8,390|2945|2495|317|1652|1832|351|2358|1765|3295|2924|2047|2411|1270,"Understanding China, 1700-2000: A Data Analytic Approach, Part 2|AI Workflow: AI in Production|IBM IT Assessment: Identifying the Right Career for You!|Create Charts and Dashboard using Google Sheets|Inflation Analysis for Investment Appraisal|Getting Started in Google Analytics|Leading People and Teams Capstone|Data Visualization and Dashboards with Excel and Cognos|Portfolio Diversification using Correlation Matrix|Health Systems Development: Introduction to Health Systems|Capstone: Analyzing (Social) Network Data|Singing Popular Music|Recent Advances in Freeform Electronics|Logging, Monitoring and Observability in Google Cloud",1832:5|317:3|2047:5|2411:5|3295:5|351:4|2924:5|1765:5
jack_hub_31,process,19,8,1589|785|2286|521|3463|69|1745|2018|1362|589|2604|1275|427|3210|168|834|3454|1224|337,"Understanding and Managing the Stresses of Police Work|Digital Manufacturing & Design|Introduction to High-Throughput Materials Development|Reliable Google Cloud Infrastructure: Design and Process|Operations Management: Analysis and Improvement Methods|Create an FPS Weapon in Unity (Part 1 - Revolver)|Software Design as an Element of the Software Development Lifecycle|Qualitative Comparative Analysis (QCA)|Grow Your Business with Goldman Sachs 10,000 Women|Fundamentals of Operations, with Goldman Sachs 10,000 Women|Managerial Accounting: Cost Behaviors, Systems, and Analysis|Business Analysis & Process Management|Scaling Operations: Linking Strategy and Execution|Capstone: Creating A Sustainability Proposal|Business Process Management in Healthcare Organizations|FinTech Risk Management|Take the Lead on Healthcare Quality Improvement|Fixing Healthcare Delivery 2.0: Advanced Lean|A Complete Reinforcement Learning System (Capstone)",2604:5|1224:3|427:3|337:5|834:5|1275:5|3454:5|2018:4
grace_ml_32,network|virtual,15,7,1467|2594|678|3259|2252|1770|2137|2185|3355|2267|3375|1917|1464|1139|2667,Machine Learning with H2O Flow|Cybersecurity Capstone:  Breach Response Case Studies|Biomedical Visualisation|TensorFlow for CNNs: Learn and Practice CNNs|Deep Learning in Computer Vision|Security and Privacy in TOR Network|Migrating to Google Cloud|Analysing Complexity|Chinese for HSK 1|Systems Science and Obesity|Image Data Augmentation with Keras|Information Security: Context and Introduction|What is Social?|Introduction to TCP/IP|Population Health: Governance,2267:5|1139:3|2137:4|2667:4|3375:4|3259:3|2185:5
sam_io_33,physical-science-and-engineering,14,11,2413|1250|2442|769|1202|2873|2471|1122|2260|1850|1516|809|2543|2302,"Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories|Journey Conversations: Weaving Knowledge and Action|Protecting the World: Introducing Corrosion Science and Engineering|Sports and Building Aerodynamics|Sustainability of Social-Ecological Systems: the Nexus between Water, Energy and Food|Converter Control|BIM Application for Engineers|Introduction to Physical Chemistry|Introduction to Molecular Spectroscopy|The Evolving Universe|Electrodynamics: Electric and Magnetic Fields|CAM and Design Manufacturing for Mechanical Engineers with Autodesk Fusion 360|Physical Basics of Quantum Computing|Programming for the Internet of Things Project",1202:5|2413:4|1516:5|2471:4|2302:4|2543:4|2260:5|1850:5|2873:5|769:3|2442:3
omar_dev_34,accounting|programming,7,5,2887|916|1211|500|2606|383|1743,"Career Success Project|Introduction to Computer Vision with Watson and OpenCV|Concepts in Python: Loops, Functions and Returns|Front-End JavaScript Frameworks: Angular|Generate Synthetic Images with DCGANs in Keras|Bioinformatics: Introduction and Methods ?????: ?????|Understanding Financial Statements: Company Performance",1211:4|2606:5|383:4|1743:5|2887:5
vera_ml_35,engineering|finance,17,10,2030|1682|1502|3058|649|193|1461|2754|23|494|3035|258|830|2702|3244|1363|2533,Financial Markets|Financial Planning for Young Adults|Build Your Own iOS App|Managerial Accounting: Tools for Facilitating and Guiding Business Decisions|The Social and Technical Context of Health Informatics|Engineering Design Process with Autodesk Fusion 360|The Future of Payment Technologies|Global Financing Solutions  (by EDHEC and Soci�t� G�n�rale)|Preparing for the Google Cloud Professional Data Engineer Exam|Advanced Grammar & Punctuation Project|Corporate Finance II: Financing Investments and Managing Risk|Sales Training: Techniques for a Human-Centric Sales Process|Auditing I: Conceptual Foundations of Auditing|Healthcare Marketplace Capstone|Introduction to Docker : The Basics|Advanced Financial Reporting: Accounting for Business Combinations and Preparation of Consolidated Financial Statements|Valuation for Startups Using Discounted Cash Flows Approach,258:5|3058:5|3035:4|1363:5|2754:5|2030:3|494:3|23:3|193:5|2702:3
peter_io_36,testing,18,13,2412|2156|758|1962|2114|3361|2945|2285|167|1563|1515|1745|1681|1289|2714|3276|2007|3422,"Toxicology 21: Scientific Applications|Population Health: Responsible Data Analysis|Introduction to iOS App Development with Swift 5|Inferential and Predictive Statistics for Business|Testing for Web Accessibility With Accessibility Insights|Creating an AWS EC2 Autoscaling Group using Load Balancer|AI Workflow: AI in Production|Lean Software Development|Introduction to Game Design|Psychodiagnostics and Psychological Assessment|Machine Learning: Create a Neural Network that Predicts whether an Image is a Car or Airplane.|Software Design as an Element of the Software Development Lifecycle|Statistical Inference|Designing, Running, and Analyzing Experiments|Hypothesis-Driven Development|Introduction to Automated Analysis|Agile Analytics|Improving your statistical inferences",1745:4|2156:3|1681:5|2114:3|1962:5|2007:4|2285:4|3276:5|1289:4|2412:3|167:5|2945:3|758:5
jack_biz_37,business-essentials|education|software,16,9,780|3098|59|2619|2911|2200|2460|1371|1944|371|2230|1614|3496|1173|1863|2374,"ADHD: Everyday Strategies for Elementary Students|Application Systems Programming|Foundations of Teaching for Learning: Introduction|Computational Thinking for K-12 Educators: Abstraction, Methods, and Lists|Gender and Sexuality: Diversity and Inclusion in the Workplace|Excel Fundamentals for Data Analysis|The Power of Machine Learning: Boost Business, Accumulate Clicks, Fight Fraud, and Deny Deadbeats|How to Write and Publish a Scientific Paper (Project-Centered Course)|Advanced Instructional Strategies in the Virtual Classroom|Journeys to Education Teach-Out|Teach English Now! Theories of Second Language Acquisition|Mitigating Security Vulnerabilities on Google Cloud Platform|Requirements Gathering for Secure Software Development|""Making"" Progress Teach-Out|Introduction to Google Docs|Teach English Now! Lesson Design and Assessment",1371:3|371:4|780:4|1614:5|2230:4|1944:5|2911:3|2374:3|1173:5
eve_biz_38,method|product,17,13,1792|950|417|2147|103|1737|2482|2764|2439|2865|2934|1419|98|3345|1440|3311|1359,"Quantum Optics 2 - Two photons and more|A Start Guide: Product Marketing Using G Suite|Recommender Systems Capstone|Agile Projects: Develop Product Wireframe Prototypes in Miro|Learn to Teach Java:   Boolean Expressions, If Statements, and Iteration|Mathematical Biostatistics Boot Camp 2|Data Visualization with Tableau Project|Infonomics I: Business Information Economics and Data Monetization|New Learning: Principles and Patterns of Pedagogy|Educating Deaf Children: Becoming an Empowered Teacher|How to Design a Space-Saving Table Using SketchUp|Build a Guessing Game Application using Java|Product Design: Designing a modern table lamp using SketchUp|Innovation & Entrepreneurship - From Basics to Open Innovation|Create an FPS Weapon in Unity (Part 3 -Damage Effects)|Agile Projects: Defining Epics and Mapping Value with Taiga|Curanderismo: Global & Cultural Influences of Traditional Healing",3311:5|417:5|950:5|3345:4|1440:5|98:5|2482:4|1419:5|1737:3|1359:4|103:4|1792:3|2934:5
jack_hub_39,planning,16,7,2665|2316|1749|417|1557|766|539|677|775|3359|827|2374|6|633|3462|2627,Action-Driven Business Plan: From the �Classroom� to the World|The entrepreneur's guide for beginners|Sustainable Innovation for Subsistence Marketplaces|Recommender Systems Capstone|Leveraging Real-Time Analytics in Slack|Innovating in a Digital World|Power Onboarding|UX (User Experience) Capstone|Disaster Preparedness|IT Project Management|Networking and Volunteerism for Career Success|Teach English Now! Lesson Design and Assessment|Doing Business in China Capstone|Queering the Schoolhouse: LGBTQ+ Inclusion for Educators|Creative Writing: The Craft of Style|Get Organized: How to be a Together Teacher,2665:4|2316:4|2374:4|775:4|417:5|539:5|827:5
jack_biz_40,computer|numbers|social-sciences,18,7,1137|3468|3047|2976|615|467|1210|267|2804|3022|2307|636|1748|1389|1138|3286|1709|688,Building AI Powered Chatbots Without Programming|Getting started with TensorFlow 2|Basic Cryptography and Programming with Crypto API|Understanding Terrorism and the Terrorist Threat|Structuring Machine Learning Projects|Foundations of Teaching for Learning: Developing Relationships|Compose and Program Music in Python using Earsketch|Java for Android|Fundamentals of Scalable Data Science|Implementing Hangman Game Using Basics of Python 3|Create your first Java project using jGRASP|Exploratory Data Analysis|Cybersecurity Policy for Water and Electricity Infrastructures|C# Programming for Unity Game Development Capstone Project|Building AI Powered Chatbots Without Programming|International Law in Action: A Guide to the International Courts and Tribunals in The Hague|New Approaches to Countering Terror: Countering Violent Extremism|Data Science Capstone,1748:5|3468:4|1137:3|2976:4|615:4|1138:3|3047:5
olivia_io_41,(spreadsheet)|resource|physical-science-and-engineering,18,14,36|3014|2239|2002|2693|3185|2940|1136|2874|3518|1280|856|2662|2302|38|679|2413|1794,"COBOL Programming with VSCode|Ferrous Technology II|Disaster Risk Management and Korean Policies|Non-Equilibrium Applications of Statistical Thermodynamics|MOS Transistors|IS/IT Governance|Collaborative Robot Safety: Design & Deployment|Water in the Western United States|The Effect of Fires on People, Property and the Environment|Patrick Henry: Forgotten Founder|Factorial and Fractional Factorial Designs|Recruiting, Hiring, and Onboarding Employees|Sustainability through Soccer: Systems-Thinking in Action|Programming for the Internet of Things Project|Postman - Intro to APIs (without coding)|Ideal Gases|Mechanics of Materials IV: Deflections, Buckling, Combined Loading & Failure Theories|Introduction to Advanced Vibrations",38:4|856:5|2239:3|2940:5|2302:5|3014:4|2002:5|1794:4|3518:5|1280:5|2662:3|2413:3|679:4|3185:4
jack_ml_42,interactivity,19,11,2281|3029|1513|2023|2918|3242|1146|888|2069|965|2828|2375|1900|1911|3368|2086|605|2824|2172,"Introduction to Computer Programming|Enhance Student Learning through Kahoot|Interactivity with JavaScript|Comparing Genes, Proteins, and Genomes (Bioinformatics III)|Building Data Visualization Tools|An Introduction to Interactive Programming in Python (Part 2)|Get Interactive: Practical Teaching with Technology|3D Printing Hardware|Interactive Machine Learning Dashboards using Plotly Dash|Interactive Word Embeddings using Word2Vec and Plotly|Creating an Interactive Story with Flutter|Creating Advanced Reports with SAS Visual Analytics|Computational Thinking for K-12 Educators: Variables and Nested Loops|Data Visualization with Plotly Express|Image Compression with K-Means Clustering|Visualization for Data Journalism|Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences|An Introduction to Interactive Programming in Python (Part 1)|Measuring and Maximizing Impact of COVID-19 Contact Tracing",965:4|3368:5|2824:5|3029:5|2281:3|3242:5|2918:5|2086:4|2828:5|2375:5|2069:5
